Record ID,Company name,Legal entity name,Category,Subcategory,Street,No.,Postcode,City,District,Country,Phone,E-mail,Website,LinkedIn,Facebook,Instagram,VAT number,Opening hours,Description,Latitude,Longitude,Verification status,Review flags,Completeness %,Company name check,Website check,E-mail check,Phone check,VAT number check,Source,Source URL,Duplicate group,Extracted at (UTC),Reviewer decision,Reviewer notes
KOR-0038,Nude Kortrijk | Middle-Eastern eat-easy bar,,restaurant,,Koning Albertstraat,15,8500,Kortrijk,,BE,+32 56 90 00 05,,https://www.nude-kortrijk.be/,,,,,"Tu-Fr 12:00-14:00, Tu-Fr 17:00-24:00, Sa 12:00-24:00",,50.825829,3.262301,UNVERIFIED,,60.9,unverified,unverified,missing,unverified - fixed number (BE),missing,osm,https://www.openstreetmap.org/way/567390704,,2026-09-08T09:30:49+00:00,,
KOR-0039,Oriental,,restaurant,chinese,Onze-Lieve-Vrouwestraat,23,8500,Kortrijk,,BE,+32 56 20 26 88,,http://www.oriental-kortrijk.be/,,,,,"Mo-Su 12:00-14:30, 18:00-23:30",,50.828857,3.265834,UNVERIFIED,,65.2,unverified,unverified,missing,unverified - fixed number (BE),missing,osm,https://www.openstreetmap.org/node/4460059189,,2026-09-08T09:30:49+00:00,,
KOR-0040,Pastaciutta,,restaurant,italian,Magdalenastraat,15,8500,Kortrijk,,BE,+32 56 44 64 63,,https://pastasciutta.be/,,,,,"Mo-Fr 11:00-15:00, 17:00-21:00; Su 17:00-21:00",,50.825361,3.257609,UNVERIFIED,,65.2,unverified,unverified,missing,unverified - fixed number (BE),missing,osm,https://www.openstreetmap.org/node/4594493381,,2026-09-08T09:30:49+00:00,,
KOR-0041,Piccoli,,cafe,ice cream,,,,Kortrijk,,BE,,,http://www.piccoli.be/,,,,,,,50.827343,3.267055,UNVERIFIED,,43.5,unverified,unverified,missing,missing,missing,osm,https://www.openstreetmap.org/node/3841537245,,2026-09-08T09:30:49+00:00,,
KOR-0042,Pizza Hut,,restaurant,pizza,President Kennedylaan,100,8500,Kortrijk,,BE,,,https://restaurants.pizzahut.be/restaurant/restaurant-kortrijk-kinepolis,,,,,,,50.805169,3.274961,UNVERIFIED,,56.5,unverified,unverified,missing,missing,missing,osm,https://www.openstreetmap.org/node/6598795472,,2026-09-08T09:30:49+00:00,,
KOR-0043,Pizzeria Primavera,,restaurant,pizza,Lange Munteplein,7,8500,Kortrijk,,BE,,,,,,,,Tu-Su 18:00-22:00,,50.810781,3.298633,UNVERIFIED,,56.5,unverified,missing,missing,missing,missing,osm,https://www.openstreetmap.org/node/737246925,,2026-09-08T09:30:49+00:00,,
KOR-0044,Pizzeria Ristorante l'Osteria,,restaurant,pizza,Grote Markt,27,8500,Kortrijk,,BE,,,https://www.l-osteria.be/,,,,,"Tu 18:30-22:00; We-Su 12:00-14:00, 18:30-22:00",,50.827332,3.266981,UNVERIFIED,,60.9,unverified,unverified,missing,missing,missing,osm,https://www.openstreetmap.org/node/3841537246,,2026-09-08T09:30:49+00:00,,
KOR-0045,Pizzi Cotto,,restaurant,pizza,,,,Kortrijk,,BE,+32 56 21 00 18,info@pizzicotto.be,https://www.pizzicotto.be/,,https://www.facebook.com/Emilia.Anton1988,,,,,50.826433,3.271227,UNVERIFIED,,56.5,unverified,unverified,unverified,unverified - fixed number (BE),missing,osm,https://www.openstreetmap.org/node/12294108325,,2026-09-08T09:30:49+00:00,,
KOR-0046,Ripasso,,restaurant,,,,,Kortrijk,,BE,+32 475 75 60 65,info@ripasso.be,http://www.ripasso.be/,,,,,,,50.813911,3.242683,UNVERIFIED,,47.8,unverified,unverified,unverified,unverified - mobile number (BE),missing,osm,https://www.openstreetmap.org/node/10168651060,,2026-09-08T09:30:49+00:00,,
KOR-0047,Saint-Christophe,,restaurant,,,,,Kortrijk,,BE,,,https://www.stchristophe.be/,,,,,"Tu 12:15-13:30; We-Fr 12:15-13:30, 19:15-21:00; Sa 19:15-21:00; Su 12:15-13:30",,50.823828,3.266805,UNVERIFIED,,43.5,unverified,unverified,missing,missing,missing,osm,https://www.openstreetmap.org/node/7123362537,,2026-09-08T09:30:49+00:00,,
KOR-0048,Saint-Cornil,,restaurant,steak house,Aalbekeplaats,15,8511,Kortrijk,Aalbeke,BE,+32 56 41 35 23,,https://www.st-cornil-aalbeke.be/,,,,,"Mo-Fr 12:00-14:00,19:30-22:00; Sa-Su,PH off",,50.779214,3.230881,UNVERIFIED,,69.6,unverified,unverified,missing,unverified - fixed number (BE),missing,osm,https://www.openstreetmap.org/node/2729766962,,2026-09-08T09:30:49+00:00,,
KOR-0049,Sint Georges,,restaurant,,,,,Kortrijk,,BE,,,https://www.restaurantstgeorges.com/,,,,,,,50.778853,3.230064,UNVERIFIED,,39.1,unverified,unverified,missing,missing,missing,osm,https://www.openstreetmap.org/node/790036984,,2026-09-08T09:30:49+00:00,,
KOR-0051,Tarterie,,cafe,,Grote Markt,44,8500,Kortrijk,,BE,,,https://www.tarterie.be/,,https://www.facebook.com/Tarterie.be,,,,,50.827424,3.265239,UNVERIFIED,,56.5,unverified,unverified,missing,missing,missing,osm,https://www.openstreetmap.org/node/3855250816,,2026-09-08T09:30:49+00:00,,
KOR-0054,Vesper,,restaurant,,Voorstraat,34,8500,Kortrijk,,BE,+32 472 35 49 04,info@vesperkortrijk.be,https://www.vesperkortrijk.be/,,https://www.facebook.com/vesperkortrijk,https://www.instagram.com/vesperkortrijk,,"Mo 11:45-14:00; Tu-Th 11:45-14:00,18:30-21:00; Fr 11:45-14:00,18:00-21:30; Sa 11:45-14:30,18:00-21:30",,50.827892,3.2718,UNVERIFIED,,73.9,unverified,unverified,unverified,unverified - mobile number (BE),missing,osm,https://www.openstreetmap.org/node/10082074964,,2026-09-08T09:30:49+00:00,,
KOR-0056,Wilmanda's Coffee,,cafe,,Lange Steenstraat,13A,,Kortrijk,,BE,+32 490 31 42 79,info@wilmandascoffee.com,https://www.wilmandascoffee.com/,,https://www.facebook.com/profile.php?id=61576366208510,,,,,50.826436,3.267628,UNVERIFIED,,60.9,unverified,unverified,unverified,unverified - mobile number (BE),missing,osm,https://www.openstreetmap.org/node/13395819766,,2026-09-08T09:30:49+00:00,,
KOR-0002,B'aristokat,,cafe,"coffee shop, pancake",,,8500,Kortrijk,,BE,+32 495 43 46 40,info@baristokat.be,https://baristokat-kattencafe.be/,,,https://www.instagram.com/baristokat.kortrijk,,,Katten café,50.828398,3.265629,NEEDS_REVIEW,e-mail domain (baristokat.be) differs from website domain (baristokat-kattencafe.be) - review,65.2,unverified,unverified,unverified,unverified - mobile number (BE),missing,osm,https://www.openstreetmap.org/node/9288274414,,2026-09-08T09:30:49+00:00,,
KOR-0008,Bistro 't Forum,,restaurant,,,,,Kortrijk,,BE,,,https://www.vives.be/nl/kortrijk/bistro,,,,,,,50.805992,3.283541,NEEDS_REVIEW,possible duplicate (DUP-003): same website domain but different name/address (branch or chain?) - names 43% similar - review | possible duplicate (DUP-004): same website domain but different name/address (branch or chain?) - names 27% similar - review,39.1,unverified,unverified,missing,missing,missing,osm,https://www.openstreetmap.org/node/8004386864,DUP-003,2026-09-08T09:30:49+00:00,,
KOR-0010,Bistro Tout Court,,restaurant,regional,Budastraat,24,8500,Kortrijk,Heule,BE,+32 472 46 37 48,,https://www.bistrotoutcourt.be/,,,,,"Mo-Fr 11:30-13:30,18:30-21:30; Sa 11:30-13:30,18:30-22:00",,50.8304,3.263629,NEEDS_REVIEW,note: merged 1 duplicate record(s) - same website domain; names 100% similar | merged duplicates disagree on: street: Budastraat vs Sint-Katharinastraat; house_number: 24 vs 105; postcode: 8500 vs 8501 - review,69.6,unverified,unverified,missing,unverified - mobile number (BE),missing,osm,https://www.openstreetmap.org/node/6932290778,DUP-001,2026-09-08T09:30:49+00:00,,
KOR-0033,Kostbar,,restaurant,,Kloosterstraat,60,8510,Kortrijk,Marke,BE,+32 486 83 21 66,els@kostbar-marke.be,https://kostbar-marke.be/,,https://www.facebook.com/kostbarmarke,,,"Tu-Th 10:00-17:00; Fr,Sa 10:00-17:00,19:00-21:00",,50.805567,3.236487,NEEDS_REVIEW,"source marks the business as closed (opening hours) - review | note: merged 1 duplicate record(s) - same phone, email; names 82% similar | merged duplicates disagree on: company_name: Kostbar vs Kostba(a)r - review",73.9,conflict - differs between sources: Kostbar vs Kostba(a)r | other values seen: Kostba(a)r,unverified,unverified,unverified - mobile number (BE),missing,osm,https://www.openstreetmap.org/node/11724904081,DUP-002,2026-09-08T09:30:49+00:00,,
KOR-0050,Storia Di,,restaurant,italian,,,,Kortrijk,,BE,,,https://www.vives.be/nl/kortrijk/storiadi,,,,,,,50.806054,3.283642,NEEDS_REVIEW,possible duplicate (DUP-003): same website domain but different name/address (branch or chain?) - names 43% similar - review | possible duplicate (DUP-005): same website domain but different name/address (branch or chain?) - names 24% similar - review,43.5,unverified,unverified,missing,missing,missing,osm,https://www.openstreetmap.org/node/8004386863,DUP-003,2026-09-08T09:30:49+00:00,,
KOR-0052,Thai Lin,,restaurant,thai,Dolfijnkaai,3,8500,Kortrijk,,BE,+32 56 51 20 48,info@thailin.be,http://www.y-notthai.com/,,,,,We-Th 18:00-21:30; Fr-Sa 18:00-22:00; Su 18:00-21:00,,50.829348,3.264022,NEEDS_REVIEW,e-mail domain (thailin.be) differs from website domain (y-notthai.com) - review,69.6,unverified,unverified,unverified,unverified - fixed number (BE),missing,osm,https://www.openstreetmap.org/node/3839667142,,2026-09-08T09:30:49+00:00,,
KOR-0053,The Cube,,restaurant,,,,,Kortrijk,,BE,,,https://www.vives.be/nl/kortrijk/thecube,,,,,Mo-Fr 11:30-14:00,,50.806723,3.281316,NEEDS_REVIEW,possible duplicate (DUP-004): same website domain but different name/address (branch or chain?) - names 27% similar - review | possible duplicate (DUP-005): same website domain but different name/address (branch or chain?) - names 24% similar - review,43.5,unverified,unverified,missing,missing,missing,osm,https://www.openstreetmap.org/node/8004386862,DUP-004,2026-09-08T09:30:49+00:00,,
KOR-0055,Viva Sara Kaffee,,cafe,,Grote Markt,33,8500,Kortrijk,,BE,+32 56 21 72 70,info@vivasarakaffee.com,https://www.vivasara.be/nl/kaffee/kortrijk,,,,,Mo-Su 09:00-18:00,,50.827259,3.266439,NEEDS_REVIEW,e-mail domain (vivasarakaffee.com) differs from website domain (vivasara.be) - review,65.2,unverified,unverified,unverified,unverified - fixed number (BE),missing,osm,https://www.openstreetmap.org/node/4905761821,,2026-09-08T09:30:49+00:00,,
